iter	Passed	Remaining
0	368	183931
1	591	147259
2	1017	168570
3	1292	160330
4	1521	150667
5	1747	143895
6	1944	136962
7	2152	132371
8	2370	129306
9	2571	126021
10	2770	123175
11	2960	120380
12	3151	118067
13	3358	116573
14	3614	116864
15	3851	116513
16	4060	115375
17	4261	114110
18	4454	112765
19	4640	111365
20	4833	110245
21	5033	109353
22	5228	108442
23	5425	107602
24	5633	107038
25	5829	106273
26	6072	106379
27	6288	106011
28	6511	105752
29	6717	105239
30	6922	104737
31	7118	104111
32	7306	103391
33	7520	103077
34	7711	102450
35	7902	101854
36	8084	101166
37	8276	100623
38	8460	100003
39	8645	99426
40	8827	98823
41	9015	98310
42	9209	97872
43	9395	97375
44	9577	96843
45	9767	96397
46	9965	96052
47	10165	95726
48	10351	95277
49	10543	94889
50	10731	94483
51	10925	94130
52	11111	93710
53	11301	93337
54	11495	93007
55	11685	92646
56	11869	92248
57	12058	91896
58	12252	91584
59	12446	91275
60	12635	90934
61	12834	90671
62	13026	90355
63	13227	90109
64	13417	89796
65	13601	89441
66	13790	89122
67	13975	88786
68	14161	88456
69	14354	88177
70	14544	87880
71	14733	87582
72	14924	87299
73	15115	87016
74	15307	86740
75	15498	86466
76	15694	86217
77	15883	85934
78	16075	85669
79	16264	85386
80	16458	85137
81	16647	84862
82	16840	84605
83	17033	84358
84	17225	84102
85	17416	83844
86	17607	83584
87	17798	83331
88	17990	83079
89	18182	82831
90	18373	82581
91	18563	82325
92	18747	82043
93	18943	81820
94	19127	81543
95	19322	81313
96	19512	81069
97	19705	80831
98	19904	80622
99	20098	80395
100	20290	80156
101	20482	79923
102	20675	79691
103	20864	79445
104	21054	79205
105	21250	78987
106	21456	78809
107	21692	78734
108	21894	78539
109	22088	78315
110	22297	78140
111	22561	78160
112	22833	78198
113	23063	78092
114	23280	77938
115	23525	77878
116	23717	77639
117	23964	77581
118	24169	77384
119	24413	77309
120	24625	77131
121	24843	76973
122	25043	76760
123	25264	76608
124	25477	76432
125	25781	76526
126	26011	76396
127	26223	76212
128	26503	76223
129	26736	76095
130	26974	75981
131	27188	75797
132	27398	75603
133	27602	75391
134	27806	75179
135	28017	74987
136	28243	74834
137	28456	74646
138	28660	74435
139	28861	74215
140	29067	74007
141	29264	73779
142	29470	73572
143	29669	73350
144	29861	73110
145	30052	72866
146	30330	72834
147	30544	72645
148	30768	72482
149	30977	72280
150	31180	72065
151	31410	71913
152	31675	71840
153	31920	71717
154	32125	71506
155	32316	71263
156	32564	71144
157	32776	70945
158	32966	70701
159	33162	70470
160	33394	70314
161	33598	70101
162	33824	69932
163	34026	69712
164	34235	69508
165	34464	69344
166	34655	69103
167	34882	68933
168	35093	68733
169	35293	68511
170	35506	68312
171	35704	68086
172	35914	67884
173	36112	67659
174	36300	67414
175	36492	67179
176	36689	66953
177	36885	66725
178	37075	66488
179	37272	66263
180	37461	66023
181	37664	65809
182	37858	65579
183	38050	65347
184	38237	65106
185	38427	64872
186	38624	64648
187	38809	64406
188	39008	64188
189	39196	63952
190	39390	63726
191	39590	63510
192	39797	63304
193	39983	63067
194	40178	62843
195	40372	62617
196	40565	62392
197	40756	62164
198	40950	61940
199	41139	61708
200	41333	61486
201	41522	61256
202	41723	61044
203	41917	60821
204	42099	60581
205	42288	60353
206	42472	60118
207	42672	59906
208	42890	59717
209	43079	59490
210	43259	59251
211	43478	59064
212	43659	58828
213	43849	58603
214	44044	58384
215	44239	58166
216	44433	57948
217	44617	57716
218	44814	57501
219	45004	57278
220	45192	57053
221	45394	56845
222	45592	56632
223	45777	56404
224	45970	56186
225	46160	55964
226	46348	55740
227	46545	55527
228	46737	55309
229	46921	55081
230	47104	54852
231	47292	54631
232	47494	54424
233	47688	54209
234	47892	54006
235	48081	53786
236	48271	53566
237	48456	53342
238	48653	53131
239	48851	52922
240	49040	52703
241	49229	52484
242	49427	52274
243	49612	52052
244	49810	51844
245	50001	51627
246	50186	51405
247	50393	51206
248	50585	50991
249	50780	50780
250	50962	50556
251	51162	50350
252	51349	50131
253	51536	49913
254	51729	49700
255	51923	49489
256	52122	49283
257	52311	49067
258	52500	48851
259	52695	48642
260	52892	48434
261	53078	48216
262	53275	48009
263	53464	47794
264	53659	47584
265	53850	47372
266	54049	47167
267	54261	46972
268	54470	46776
269	54659	46562
270	54857	46355
271	55051	46145
272	55241	45933
273	55432	45721
274	55623	45510
275	55817	45301
276	56000	45083
277	56205	44883
278	56387	44665
279	56571	44448
280	56760	44236
281	56958	44031
282	57158	43827
283	57352	43620
284	57552	43417
285	57742	43205
286	57933	42996
287	58125	42787
288	58324	42582
289	58523	42379
290	58707	42164
291	58900	41956
292	59089	41746
293	59285	41540
294	59471	41327
295	59669	41123
296	59856	40911
297	60056	40709
298	60259	40508
299	60450	40300
300	60642	40092
301	60830	39882
302	61030	39680
303	61230	39477
304	61418	39267
305	61615	39063
306	61804	38854
307	61987	38641
308	62177	38433
309	62375	38230
310	62559	38018
311	62749	37810
312	62947	37607
313	63136	37399
314	63323	37190
315	63523	36988
316	63718	36783
317	63906	36575
318	64098	36369
319	64297	36167
320	64495	35965
321	64685	35757
322	64876	35551
323	65070	35347
324	65265	35143
325	65466	34942
326	65663	34739
327	65857	34534
328	66063	34337
329	66275	34141
330	66474	33940
331	66690	33746
332	66880	33540
333	67080	33339
334	67273	33134
335	67474	32933
336	67671	32731
337	67873	32531
338	68063	32325
339	68253	32119
340	68446	31914
341	68636	31709
342	68846	31512
343	69046	31311
344	69238	31107
345	69444	30908
346	69644	30707
347	69836	30503
348	70026	30297
349	70216	30092
350	70410	29889
351	70602	29685
352	70792	29479
353	70982	29275
354	71179	29073
355	71383	28874
356	71578	28671
357	71778	28470
358	71977	28269
359	72168	28065
360	72360	27861
361	72551	27657
362	72743	27454
363	72937	27251
364	73127	27047
365	73318	26843
366	73511	26640
367	73702	26436
368	73901	26235
369	74091	26032
370	74290	25831
371	74482	25628
372	74672	25424
373	74861	25220
374	75051	25017
375	75236	24812
376	75433	24610
377	75638	24412
378	75835	24211
379	76034	24010
380	76231	23809
381	76432	23609
382	76624	23407
383	76814	23204
384	77008	23002
385	77206	22802
386	77406	22601
387	77601	22400
388	77792	22197
389	77976	21993
390	78166	21790
391	78364	21590
392	78569	21391
393	78810	21202
394	79003	21000
395	79194	20798
396	79389	20597
397	79577	20394
398	79773	20193
399	79978	19994
400	80183	19795
401	80385	19596
402	80593	19398
403	80786	19196
404	80973	18993
405	81166	18792
406	81360	18590
407	81565	18392
408	81751	18189
409	81939	17986
410	82127	17784
411	82320	17583
412	82522	17383
413	82711	17181
414	82902	16979
415	83094	16778
416	83289	16578
417	83481	16376
418	83673	16175
419	83868	15974
420	84068	15775
421	84259	15574
422	84469	15376
423	84665	15175
424	84852	14973
425	85048	14773
426	85233	14571
427	85429	14371
428	85629	14171
429	85823	13971
430	86014	13770
431	86204	13569
432	86392	13367
433	86583	13167
434	86776	12966
435	86961	12764
436	87153	12564
437	87339	12363
438	87531	12162
439	87719	11961
440	87907	11760
441	88098	11560
442	88293	11360
443	88478	11159
444	88700	10962
445	88904	10764
446	89095	10563
447	89295	10364
448	89480	10163
449	89671	9963
450	89863	9763
451	90059	9563
452	90251	9363
453	90451	9164
454	90644	8964
455	90835	8764
456	91028	8565
457	91225	8365
458	91414	8165
459	91604	7965
460	91788	7765
461	91983	7565
462	92184	7366
463	92373	7166
464	92567	6967
465	92767	6768
466	92952	6568
467	93140	6368
468	93340	6169
469	93533	5970
470	93733	5771
471	93924	5571
472	94109	5372
473	94293	5172
474	94492	4973
475	94676	4773
476	94873	4574
477	95066	4375
478	95259	4176
479	95442	3976
480	95640	3777
481	95825	3578
482	96009	3379
483	96198	3180
484	96391	2981
485	96594	2782
486	96781	2583
487	96971	2384
488	97175	2185
489	97379	1987
490	97571	1788
491	97769	1589
492	97967	1391
493	98159	1192
494	98357	993
495	98550	794
496	98739	596
497	98923	397
498	99114	198
499	99301	0
